major_category,sub_category,video_name,url
JW Broadcasting,Monthly Programs,JW Broadcasting—June 2025: 157th Gilead Graduation,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-125_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—May 2025,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-126_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—April 2025,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-124_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—March 2025,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-123_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—February 2025,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-122_1_VIDEO
JW Broadcasting,Monthly Programs,"JW Broadcasting—January 2025: Annual Meeting 2024, Part 2",https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-120_11_VIDEO
JW Broadcasting,Monthly Programs,"JW Broadcasting—December 2024: Annual Meeting 2024, Part 1",https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-120_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—November 2024: 156th Gilead Graduation,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-119_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—October 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-117_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—September 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-118_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—August 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-115_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—July 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-114_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—June 2024: 155th Gilead Graduation,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-113_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—May 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-112_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—April 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-111_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—March 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-110_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—February 2024,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-099_1_VIDEO
JW Broadcasting,Monthly Programs,"JW Broadcasting—January 2024: Annual Meeting 2023, Part 2",https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-108_8_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—December 2023: 154th Gilead Graduation,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-107_1_VIDEO
JW Broadcasting,Monthly Programs,"JW Broadcasting—November 2023: Annual Meeting 2023, Part 1",https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-108_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—October 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-106_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—September 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-102_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—August 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-101_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—July 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-105_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—June 2023: 153rd Gilead Graduation,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-104_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—May 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-096_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—April 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-095_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—March 2023,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-092_1_VIDEO
JW Broadcasting,Monthly Programs,"JW Broadcasting—February 2023: Annual Meeting 2022, Part 2",https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-100_9_VIDEO
JW Broadcasting,Monthly Programs,"JW Broadcasting—January 2023: Annual Meeting 2022, Part 1",https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-100_1_VIDEO
JW Broadcasting,Monthly Programs,JW Broadcasting—December 2022: 152nd Gilead Graduation,https://www.jw.org/en/library/videos/#en/mediaitems/StudioMonthlyPrograms/pub-jwb-098_1_VIDEO
