name,main_category,main_cat_url,exist
Monthly Programs,JW Broadcasting,https://www.jw.org/en/library/videos/#en/categories/VODStudio,True
Talks,JW Broadcasting,https://www.jw.org/en/library/videos/#en/categories/VODStudio,True
News and Announcements,JW Broadcasting,https://www.jw.org/en/library/videos/#en/categories/VODStudio,True
Video Lessons,Children,https://www.jw.org/en/library/videos/#en/categories/VODChildren,True
Songs,Children,https://www.jw.org/en/library/videos/#en/categories/VODChildren,True
Dramas,Children,https://www.jw.org/en/library/videos/#en/categories/VODChildren,True
Spiritual Growth,Teenagers,https://www.jw.org/en/library/videos/#en/categories/VODTeenagers,True
Social Life,Teenagers,https://www.jw.org/en/library/videos/#en/categories/VODTeenagers,True
Goals,Teenagers,https://www.jw.org/en/library/videos/#en/categories/VODTeenagers,True
Interviews and Experiences,Teenagers,https://www.jw.org/en/library/videos/#en/categories/VODTeenagers,True
Dramas,Teenagers,https://www.jw.org/en/library/videos/#en/categories/VODTeenagers,True
Family Challenges,Family,https://www.jw.org/en/library/videos/#en/categories/VODFamily,True
Dating and Marriage,Family,https://www.jw.org/en/library/videos/#en/categories/VODFamily,True
Family Worship,Family,https://www.jw.org/en/library/videos/#en/categories/VODFamily,True
Dramas,Family,https://www.jw.org/en/library/videos/#en/categories/VODFamily,True
Morning Worship,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
Special Programs,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
Gilead Graduations,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
Annual Meetings,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2025 Pure Worship Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2024 “Declare the Good News!” Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2023 “Exercise Patience”! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2022 “Pursue Peace”! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2021 Powerful by Faith! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2020 “Always Rejoice”! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2019 “Love Never Fails”! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2018 “Be Courageous”! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2017 Don’t Give Up! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2016 Remain Loyal to Jehovah! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2015 Imitate Jesus! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
2014 Keep Seeking First God’s Kingdom! Convention,Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
Translation,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Audio and Video Production,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Publishing and Distribution,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Construction,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Relief Work,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Theocratic Schools and Training,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Special Events,Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Tools for the Ministry,Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
Essential Bible Teachings,Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
Improving Our Skills,Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
Preaching Methods,Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
Expanding Our Ministry,Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
"Meetings, Assemblies, and Conventions",Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
Reports From Around the World,Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
Bethel,Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
Organized to Accomplish Our Ministry,Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
History,Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
Legal Developments,Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
Bloodless Medicine,Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
Books of the Bible,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
Bible Reading and Study,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,False
Bible Teachings,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
Bible Accounts,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
"People, Places, and Things",The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
Bible Translations,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
Apply Bible Principles,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
Creation,The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
The Good News According to Jesus,Dramas,https://www.jw.org/en/library/videos/#en/categories/VODMovies,True
Bible Times,Dramas,https://www.jw.org/en/library/videos/#en/categories/VODMovies,True
Modern Day,Dramas,https://www.jw.org/en/library/videos/#en/categories/VODMovies,True
Extra Features,Dramas,https://www.jw.org/en/library/videos/#en/categories/VODMovies,True
Animated,Dramas,https://www.jw.org/en/library/videos/#en/categories/VODMovies,True
Apply Yourself to Reading and Teaching,Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
