name,url_1080,url_720,url_480,url_360,url_240,category_name,description,thumbnail,duration,date_added
JW Broadcasting - October 2014,,https://akdd1.jw-cdn.org/sg2/p/8fa715/1/o/jwb_E_201410_01_r720p.mp4,https://akdd1.jw-cdn.org/sg2/p/1ff4d1a/1/o/jwb_E_201410_01_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/ed9f24/1/o/jwb_E_201410_01_r360P.mp4,https://akdd1.jw-cdn.org/sg2/p/1cf913/1/o/jwb_E_201410_01_r240p.mp4,Monthly Programs,The very first JW broadcasting,https://assetsnffrgf-a.akamaihd.net/assets/m/jwb/univ/201410/art/jwb_univ_201410_lss_01_lg.jpg,55:05,
JW Broadcasting - November 2014,,https://akdd1.jw-cdn.org/sg2/p/722c72/1/o/jwb_E_201411_01_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/85baf5f/1/o/jwb_E_201411_01_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/fcc6f84/1/o/jwb_E_201411_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/c907e6/1/o/jwb_E_201411_01_r240P.mp4,Monthly Programs,Broadcasting for November 2014,https://assetsnffrgf-a.akamaihd.net/assets/m/jwb/univ/201411/art/jwb_univ_201411_lss_01_lg.jpg,59:13,
JW Broadcasting - December 2014,,https://akdd1.jw-cdn.org/sg2/p/7aa1b8/1/o/jwb_E_201412_01_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/52510b4/1/o/jwb_E_201412_01_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/34554ff/1/o/jwb_E_201412_01_r360P.mp4,https://akdd1.jw-cdn.org/sg2/p/e9c898/1/o/jwb_E_201412_01_r240P.mp4,Monthly Programs,Broadcasting for December 2014,https://assetsnffrgf-a.akamaihd.net/assets/m/jwb/univ/201412/art/jwb_univ_201412_lss_01_lg.jpg,1:01:02,
JW Broadcasting - January 2015,,https://akdd1.jw-cdn.org/sg2/p/ddc9e1b/2/o/jwb-110_E_01_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/3edc82/2/o/jwb-110_E_01_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/e09f0f/2/o/jwb-110_E_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/106b7e/2/o/jwb-110_E_01_r240P.mp4,Monthly Programs,Broadcasting for February 2015,https://assetsnffrgf-a.akamaihd.net/assets/m/jwb/univ/201502/art/jwb_univ_201502_lss_01_lg.jpg,1:09:02,
JW Broadcasting - Februrary 2015,,https://akdd1.jw-cdn.org/sg2/p/0478e4/1/o/jwb_E_201502_01_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/65b1ce/1/o/jwb_E_201502_01_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/ad34f0/1/o/jwb_E_201502_01_r360P.mp4,https://akdd1.jw-cdn.org/sg2/p/2e81a6/1/o/jwb_E_201502_01_r240P.mp4,Monthly Programs,Broadcasting for March 2015,https://assetsnffrgf-a.akamaihd.net/assets/m/jwb/univ/201503/art/jwb_univ_201503_lss_01_lg.jpg,1:04:00,
Young Ones - You Are Loved by Jehovah,,https://akdd1.jw-cdn.org/sg2/p/018a9e/1/o/jwban_E_201410_01_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/9e2855a/1/o/jwban_E_201410_01_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/f93ee9/1/o/jwban_E_201410_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/2bfaca2/1/o/jwban_E_201410_01_r240P.mp4,Talks,An excerpt from October 2014,https://assetsnffrgf-a.akamaihd.net/assets/m/jwban/univ/201410/art/jwban_univ_201410_lss_01_lg.jpg,10:01,
Helping People of All Language Groups,,https://akamd1.jw-cdn.org/sg2/p/1a3391/1/o/jwban_E_201411_01_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/e08a30/1/o/jwban_E_201411_01_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/b90325/1/o/jwban_E_201411_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/ce38a5/1/o/jwban_E_201411_01_r240P.mp4,Talks,An excerpt from November 2014,https://assetsnffrgf-a.akamaihd.net/assets/m/jwban/univ/201411/art/jwban_univ_201411_lss_01_lg.jpg,7:30,
Prepare to Sing the New Songs,,https://akdd1.jw-cdn.org/sg2/p/24239a/1/o/jwban_E_201412_01_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/2aedbe1/1/o/jwban_E_201412_01_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/2f5d112/1/o/jwban_E_201412_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/ca4bd21/1/o/jwban_E_201412_01_r240P.mp4,Talks,An excerpt from December 2014,https://assetsnffrgf-a.akamaihd.net/assets/m/jwban/univ/201412/art/jwban_univ_201412_lss_01_lg.jpg,19:15,
United - In Spirit and in Thinking,,https://akdd1.jw-cdn.org/sg2/p/841427/1/o/jwban_E_201502_01_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/817d63/1/o/jwban_E_201502_01_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/1caf65/1/o/jwban_E_201502_01_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/c1257f/1/o/jwban_E_201502_01_r240P.mp4,Talks,An excerpt from February 2015,https://assetsnffrgf-a.akamaihd.net/assets/m/jwban/univ/201502/art/jwban_univ_201502_lss_01_lg.jpg,11:05,
Fortified by the Prophetic Word,,https://akamd1.jw-cdn.org/sg2/p/4b5ae8/1/o/lffv_E_033_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/297ab4/1/o/lffv_E_033_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/2adfa7/1/o/lffv_E_033_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/d291c5e/1/o/lffv_E_033_r240P.mp4,Talks,An excerpt from March 2015,https://cms-imgp.jw-cdn.org/img/p/jwban/201503/univ/art/jwban_univ_201503_lss_01_lg.jpg,14:50,
