name,duration,category_name,description,date_added,url,thumbnail,url_1080,url_720,url_480,url_360,url_240
What Is True Love?,1:13:54,Dramas,,,https://www.jw.org/en/library/videos/#en/mediaitems/TeenMovies/pub-ivtru_2_VIDEO,https://cms-imgp.jw-cdn.org/img/p/1102012819/univ/art/1102012819_univ_wss_lg.jpg,,https://akdd1.jw-cdn.org/sg2/p/69ccae/1/o/ivtru_E_2_r720P.mp4,https://akdd1.jw-cdn.org/sg2/p/e4e510d/1/o/ivtru_E_2_r480P.mp4,https://akdd1.jw-cdn.org/sg2/p/c839a17/1/o/ivtru_E_2_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/fba5255/1/o/ivtru_E_2_r240P.mp4
What Your Peers Say—Belief in God,2:43,Interviews and Experiences,,,https://www.jw.org/en/library/videos/#en/mediaitems/TeenWhatPeersSay/docid-502015255_1_VIDEO,https://cms-imgp.jw-cdn.org/img/p/502015255/univ/art/502015255_univ_wss_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/e081ebf/1/o/502015255_E_cnt_1_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/08c4b0/1/o/502015255_E_cnt_1_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/13ab99/1/o/502015255_E_cnt_1_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/5dac5f/1/o/502015255_E_cnt_1_r240P.mp4
What Your Peers Say—Body Image,1:48,What Your Peers Say,,,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesWhatPeersSay/docid-502013268_1_VIDEO,https://assetsnffrgf-a.akamaihd.net/assets/m/502013268/univ/art/502013268_univ_wss_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/9af329/1/o/502013268_E_cnt_1_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/1bba7d/1/o/502013268_E_cnt_1_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/236b01/1/o/502013268_E_cnt_1_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/66d4b9/1/o/502013268_E_cnt_1_r240P.mp4
What Your Peers Say—Money,2:51,Interviews and Experiences,,,https://www.jw.org/en/library/videos/#en/mediaitems/TeenWhatPeersSay/docid-502014176_1_VIDEO,https://assetsnffrgf-a.akamaihd.net/assets/m/502014176/univ/art/502014176_univ_wss_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/069aa3/1/o/502014176_E_cnt_1_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/215651/1/o/502014176_E_cnt_1_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/c1e36d/1/o/502014176_E_cnt_1_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/7f9d8c/1/o/502014176_E_cnt_1_r240P.mp4
What Your Peers Say—Procrastination,1:46,What Your Peers Say,,,https://www.jw.org/en/library/videos/#en/mediaitems/SeriesWhatPeersSay/docid-502013228_1_VIDEO,https://assetsnffrgf-a.akamaihd.net/assets/m/502013228/univ/art/502013228_univ_wss_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/a82fc7/1/o/502013228_E_cnt_1_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/b8b99d6/1/o/502013228_E_cnt_1_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/95ae00/1/o/502013228_E_cnt_1_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/ec0c12f/1/o/502013228_E_cnt_1_r240P.mp4
What Your Peers Say—The Best Life Ever,3:31,Interviews and Experiences,,,https://www.jw.org/en/library/videos/#en/mediaitems/TeenWhatPeersSay/docid-502014231_1_VIDEO,https://assetsnffrgf-a.akamaihd.net/assets/m/502014231/univ/art/502014231_univ_wss_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/0cce24/1/o/502014231_E_cnt_1_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/f7db91/1/o/502014231_E_cnt_1_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/2da7de6/1/o/502014231_E_cnt_1_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/322085/1/o/502014231_E_cnt_1_r240P.mp4
Who Would Come Back to People Like Us?,5:22,Truth Transforms Lives,,,https://www.jw.org/en/library/videos/#en/mediaitems/VODIntExpTransformations/pub-jwb_201910_4_VIDEO,https://cms-imgp.jw-cdn.org/img/p/jwb/201910/univ/art/jwb_univ_201910_wss_04_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/76a328/1/o/jwb_E_201910_04_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/0e0c7a/1/o/jwb_E_201910_04_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/f0fc02/1/o/jwb_E_201910_04_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/eea3c44/1/o/jwb_E_201910_04_r240P.mp4
'Why Are You Delaying Baptism?',1:10,Truth Transforms Lives,,,https://www.jw.org/en/library/videos/#en/mediaitems/VODIntExpTransformations/pub-jwb_202003_7_VIDEO,https://cms-imgp.jw-cdn.org/img/p/jwb/202003/univ/art/jwb_univ_202003_wss_07_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/5b9dc9/1/o/jwb_E_202003_07_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/99e2b7a/1/o/jwb_E_202003_07_r480P.mp4,https://cfp2.jw-cdn.org/a/3c7d974/1/o/jwb_E_202003_07_r360P.mp4,https://cfp2.jw-cdn.org/a/19341e3/1/o/jwb_E_202003_07_r240P.mp4
"William Turner, Jr.: Do Not Become Complacent Like Solomon (1 Ki. 11:9, 10)",10:25,Morning Worship,,,https://www.jw.org/en/library/videos/#en/mediaitems/VODPgmEvtMorningWorship/pub-jwbvod25_22_VIDEO,https://cms-imgp.jw-cdn.org/img/p/jwbvod25/univ/art/jwbvod25_univ_wss_22_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/d3a0225/1/o/jwbvod25_E_22_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/52a0075/1/o/jwbvod25_E_22_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/147cf8/1/o/jwbvod25_E_22_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/30bbc1a/1/o/jwbvod25_E_22_r240P.mp4
Working With Jehovah,4:56,Construction,,,https://www.jw.org/en/library/videos/#en/mediaitems/VODActivitiesConstruction/pub-jwb_201808_12_VIDEO,https://assetsnffrgf-a.akamaihd.net/assets/m/jwb/univ/201808/art/jwb_univ_201808_wss_12_lg.jpg,,https://akamd1.jw-cdn.org/sg2/p/0bbadf/1/o/jwb_E_201808_12_r720P.mp4,https://akamd1.jw-cdn.org/sg2/p/8f9f9d/1/o/jwb_E_201808_12_r480P.mp4,https://akamd1.jw-cdn.org/sg2/p/0462a8/1/o/jwb_E_201808_12_r360P.mp4,https://akamd1.jw-cdn.org/sg2/p/2851f7/1/o/jwb_E_201808_12_r240P.mp4
